20160101	软件1615班	李四	女	37.7
20160102	软件1615班	李四	女	67.1
20160103	软件1607班	李四	男	41.1
20160104	软件1605班	李四	女	36.9
20160105	软件1615班	李四	女	95.2
20160106	软件1601班	李四	女	20.9
20160107	软件1602班	李四	男	47.8
20160108	软件1605班	李四	男	25.4
20160109	软件1608班	李四	女	88.3
20160110	软件1603班	李四	男	76.1
20160111	软件1608班	李四	男	57.9
20160112	软件1607班	李四	女	86.8
20160113	软件1610班	李四	女	98.1
20160114	软件1603班	李四	男	15.8
20160115	软件1609班	李四	女	5.3
20160116	软件1603班	李四	男	18.9
20160117	软件1615班	李四	男	75.1
20160118	软件1608班	李四	女	18.3
20160119	软件1605班	李四	男	50.2
20160120	软件1614班	李四	女	81.5
20160121	软件1610班	李四	男	79.4
20160122	软件1613班	李四	女	2.0
20160123	软件1605班	李四	男	58.8
20160124	软件1604班	李四	女	19.3
20160125	软件1610班	李四	男	24.9
20160126	软件1601班	李四	男	4.6
20160127	软件1605班	李四	男	69.7
20160128	软件1610班	李四	女	86.3
20160129	软件1608班	李四	女	36.6
20160130	软件1608班	李四	男	32.6
20160131	软件1605班	李四	男	62.6
20160132	软件1602班	李四	女	55.9
20160133	软件1608班	李四	男	59.0
20160134	软件1614班	李四	男	30.0
20160135	软件1609班	李四	女	66.5
20160136	软件1611班	李四	男	11.8
20160137	软件1607班	李四	男	94.6
20160138	软件1605班	李四	女	60.7
20160139	软件1613班	李四	女	32.0
20160140	软件1606班	李四	男	25.1
20160141	软件1607班	李四	男	7.6
20160142	软件1601班	李四	男	90.1
20160143	软件1604班	李四	男	44.8
20160144	软件1613班	李四	男	19.0
20160145	软件1614班	李四	男	4.5
20160146	软件1601班	李四	男	81.5
20160147	软件1603班	李四	女	76.0
20160148	软件1602班	李四	女	9.7
20160149	软件1605班	李四	男	87.3
20160150	软件1609班	李四	女	93.3
20160151	软件1610班	李四	女	49.4
20160152	软件1602班	李四	女	93.2
20160153	软件1603班	李四	女	84.7
20160154	软件1614班	李四	女	74.9
20160155	软件1601班	李四	女	54.7
20160156	软件1603班	李四	女	13.9
20160157	软件1613班	李四	男	81.5
20160158	软件1612班	李四	女	10.6
20160159	软件1608班	李四	男	52.3
20160160	软件1602班	李四	女	12.6
20160161	软件1613班	李四	男	6.5
20160162	软件1611班	李四	女	54.8
20160163	软件1607班	李四	男	94.5
20160164	软件1613班	李四	男	1.8
20160165	软件1611班	李四	女	87.7
20160166	软件1614班	李四	女	32.3
20160167	软件1610班	李四	男	36.3
20160168	软件1613班	李四	男	57.7
20160169	软件1603班	李四	女	50.9
20160170	软件1601班	李四	女	55.8
20160171	软件1601班	李四	男	20.0
20160172	软件1606班	李四	女	47.7
20160173	软件1606班	李四	男	21.7
20160174	软件1615班	李四	男	22.4
20160175	软件1606班	李四	男	95.7
20160176	软件1605班	李四	女	38.3
20160177	软件1609班	李四	女	88.1
20160178	软件1608班	李四	女	10.3
20160179	软件1615班	李四	女	85.0
20160180	软件1615班	李四	女	37.9
20160181	软件1614班	李四	女	92.8
20160182	软件1614班	李四	男	89.5
20160183	软件1610班	李四	女	0.1
20160184	软件1609班	李四	男	34.7
20160185	软件1614班	李四	男	58.5
20160186	软件1602班	李四	女	98.3
20160187	软件1603班	李四	男	11.7
20160188	软件1603班	李四	女	83.1
20160189	软件1613班	李四	女	89.2
20160190	软件1613班	李四	男	15.8
20160191	软件1614班	李四	男	91.8
20160192	软件1610班	李四	女	77.6
20160193	软件1612班	李四	女	54.5
20160194	软件1610班	李四	女	73.3
20160195	软件1602班	李四	女	70.5
20160196	软件1612班	李四	女	28.1
20160197	软件1610班	李四	女	39.0
20160198	软件1608班	李四	女	13.1
20160199	软件1614班	李四	男	12.5
20160200	软件1609班	李四	男	16.3
20160201	软件1601班	李四	男	31.6
20160202	软件1612班	李四	女	95.3
20160203	软件1609班	李四	女	58.6
20160204	软件1604班	李四	男	71.3
20160205	软件1606班	李四	女	35.0
20160206	软件1612班	李四	男	96.8
20160207	软件1615班	李四	男	80.1
20160208	软件1609班	李四	女	47.5
20160209	软件1614班	李四	男	1.6
20160210	软件1606班	李四	男	26.2
20160211	软件1602班	李四	女	61.5
20160212	软件1607班	李四	男	28.2
20160213	软件1606班	李四	女	38.9
20160214	软件1601班	李四	男	96.9
20160215	软件1601班	李四	男	61.8
20160216	软件1607班	李四	女	4.9
20160217	软件1609班	李四	男	82.3
20160218	软件1612班	李四	男	66.4
20160219	软件1608班	李四	男	4.8
20160220	软件1604班	李四	女	3.0
20160221	软件1614班	李四	女	3.6
20160222	软件1610班	李四	女	47.0
20160223	软件1609班	李四	女	12.6
20160224	软件1610班	李四	男	33.3
20160225	软件1601班	李四	女	8.3
20160226	软件1603班	李四	女	39.2
20160227	软件1615班	李四	女	29.4
20160228	软件1607班	李四	女	51.4
20160229	软件1604班	李四	女	78.0
20160230	软件1602班	李四	女	21.3
20160231	软件1613班	李四	男	77.0
20160232	软件1605班	李四	男	94.4
20160233	软件1605班	李四	男	27.8
20160234	软件1614班	李四	男	52.0
20160235	软件1609班	李四	女	48.8
20160236	软件1615班	李四	女	49.4
20160237	软件1612班	李四	女	84.9
20160238	软件1615班	李四	男	9.0
20160239	软件1609班	李四	女	73.0
20160240	软件1614班	李四	男	80.6
20160241	软件1615班	李四	男	39.4
20160242	软件1606班	李四	女	89.7
20160243	软件1615班	李四	男	72.2
20160244	软件1615班	李四	男	1.1
20160245	软件1606班	李四	女	84.7
20160246	软件1604班	李四	女	46.9
20160247	软件1613班	李四	男	5.1
20160248	软件1606班	李四	男	34.1
20160249	软件1611班	李四	女	43.0
20160250	软件1613班	李四	男	20.7
20160251	软件1611班	李四	女	99.4
20160252	软件1615班	李四	女	49.1
20160253	软件1609班	李四	男	65.6
20160254	软件1609班	李四	男	50.0
20160255	软件1601班	李四	男	76.3
20160256	软件1606班	李四	男	94.7
20160257	软件1602班	李四	男	10.6
